,lng,lat,month,datetime,value
0,118.0,28.0,3,206830,206830
1,118.0,28.0,4,194526,194526
2,118.0,28.0,2,189132,189132
3,118.0,28.0,6,185865,185865
4,116.0,39.0,12,179657,179657
5,116.0,40.0,3,160962,160962
6,116.0,40.0,2,160950,160950
7,118.0,28.0,12,147340,147340
8,118.0,28.0,10,145957,145957
9,116.0,40.0,5,137678,137678
10,116.0,40.0,4,131145,131145
11,118.0,28.0,1,129116,129116
12,118.0,28.0,9,124600,124600
13,116.0,40.0,6,118132,118132
14,107.0,26.0,6,96938,96938
15,107.0,26.0,5,92548,92548
16,118.0,28.0,11,89396,89396
17,117.0,28.0,11,84367,84367
18,123.0,41.0,12,84061,84061
19,107.0,27.0,3,82374,82374
20,117.0,28.0,10,81729,81729
21,116.0,39.0,1,81292,81292
22,120.0,36.0,3,74250,74250
23,116.0,40.0,1,71511,71511
24,117.0,28.0,9,69426,69426
25,120.0,36.0,6,67360,67360
26,117.0,28.0,12,64751,64751
27,106.0,26.0,12,64084,64084
28,123.0,41.0,9,63939,63939
29,125.0,44.0,3,63680,63680
30,117.0,34.0,10,62498,62498
31,123.0,41.0,10,61494,61494
32,125.0,44.0,4,60984,60984
33,114.0,23.0,4,56875,56875
34,117.0,34.0,12,54647,54647
35,107.0,26.0,4,54549,54549
36,106.0,26.0,10,53931,53931
37,120.0,36.0,5,53775,53775
38,107.0,26.0,7,49318,49318
39,114.0,23.0,5,48859,48859
40,120.0,36.0,2,48188,48188
41,120.0,36.0,4,48010,48010
42,114.0,23.0,2,47589,47589
43,106.0,26.0,11,47521,47521
44,118.0,28.0,5,47270,47270
45,107.0,26.0,3,45505,45505
46,106.0,26.0,7,44772,44772
47,114.0,23.0,3,44375,44375
48,106.0,26.0,1,43835,43835
49,107.0,27.0,4,40834,40834
50,117.0,34.0,11,38946,38946
51,117.0,34.0,3,35493,35493
52,117.0,34.0,1,35282,35282
53,106.0,27.0,7,34878,34878
54,106.0,26.0,5,34454,34454
55,125.0,44.0,5,34194,34194
56,125.0,44.0,6,33712,33712
57,106.0,26.0,9,30749,30749
58,106.0,26.0,6,30724,30724
59,125.0,43.0,9,29978,29978
60,114.0,23.0,6,29252,29252
61,107.0,26.0,2,28958,28958
62,106.0,26.0,3,28051,28051
63,125.0,44.0,7,26816,26816
64,107.0,27.0,2,25838,25838
65,106.0,26.0,2,21261,21261
66,117.0,34.0,2,20834,20834
67,107.0,27.0,6,20217,20217
68,124.0,42.0,1,18547,18547
69,119.0,31.0,10,17100,17100
70,116.0,39.0,11,16900,16900
71,106.0,26.0,4,15142,15142
72,107.0,27.0,5,14201,14201
73,116.0,39.0,10,13638,13638
74,123.0,41.0,1,12241,12241
75,120.0,36.0,9,11085,11085
76,116.0,40.0,9,10702,10702
77,107.0,27.0,7,9664,9664
78,116.0,39.0,9,8918,8918
79,107.0,27.0,1,8684,8684
80,120.0,36.0,1,8350,8350
81,106.0,27.0,3,8252,8252
82,103.0,31.0,12,7516,7516
83,114.0,23.0,1,7270,7270
84,113.0,23.0,1,6905,6905
85,123.0,41.0,11,5976,5976
86,114.0,37.0,11,5391,5391
87,117.0,28.0,1,5322,5322
88,107.0,27.0,9,4719,4719
89,104.0,31.0,2,4703,4703
90,114.0,37.0,1,4678,4678
91,118.0,29.0,4,4179,4179
92,118.0,29.0,2,4026,4026
93,106.0,27.0,4,4015,4015
94,114.0,37.0,12,3942,3942
95,113.0,22.0,1,3370,3370
96,117.0,40.0,3,2989,2989
97,124.0,42.0,9,2910,2910
98,113.0,23.0,2,2552,2552
99,107.0,26.0,1,2180,2180
100,115.0,37.0,8,1839,1839
101,118.0,29.0,5,1664,1664
102,114.0,38.0,10,1558,1558
103,117.0,40.0,4,1531,1531
104,106.0,27.0,6,1362,1362
105,117.0,40.0,1,1154,1154
106,118.0,28.0,7,1077,1077
107,107.0,28.0,5,1014,1014
108,118.0,29.0,3,871,871
109,124.0,41.0,12,830,830
110,118.0,29.0,6,804,804
111,103.0,30.0,12,762,762
112,107.0,26.0,9,713,713
113,106.0,27.0,9,676,676
114,117.0,40.0,2,618,618
115,115.0,37.0,3,593,593
116,115.0,37.0,1,587,587
117,116.0,40.0,12,531,531
118,104.0,31.0,1,513,513
119,118.0,29.0,1,492,492
120,114.0,36.0,12,480,480
121,126.0,44.0,6,475,475
122,106.0,27.0,2,453,453
123,117.0,40.0,5,413,413
124,125.0,44.0,9,372,372
125,114.0,38.0,11,367,367
126,105.0,26.0,12,355,355
127,119.0,31.0,12,341,341
128,104.0,31.0,12,299,299
129,118.0,34.0,3,291,291
130,117.0,39.0,1,272,272
131,115.0,37.0,2,253,253
132,124.0,41.0,9,241,241
133,116.0,39.0,3,233,233
134,117.0,40.0,9,209,209
135,103.0,31.0,1,180,180
136,119.0,31.0,11,163,163
137,104.0,30.0,12,162,162
138,116.0,39.0,2,146,146
139,118.0,29.0,9,134,134
140,116.0,34.0,10,130,130
141,117.0,40.0,6,125,125
142,115.0,37.0,5,114,114
143,106.0,27.0,5,112,112
144,119.0,36.0,9,85,85
145,124.0,43.0,9,83,83
146,115.0,37.0,4,59,59
147,122.0,41.0,12,39,39
148,125.0,47.0,5,18,18
149,122.0,39.0,9,14,14
150,120.0,31.0,5,7,7
151,114.0,22.0,1,4,4
152,118.0,28.0,8,2,2
153,108.0,24.0,4,1,1
154,120.0,1180.0,2,1,1
155,120.0,1777.0,3,1,1
