city,value,road,avgVhlSpd,mileage_km
吉林省,9837631,O,35.74,1362938.25
四川省,8506555,O,29.6,1525894.96
浙江省,7945678,O,30.55,1511921.67
广东省,7585523,O,27.21,1092033.88
山东省,5866922,O,30.08,924416.08
江苏省,5376395,O,32.01,968676.53
河南省,5223490,O,29.01,748931.31
贵州省,4995022,O,30.42,909714.82
河北省,4047077,O,30.38,692581.22
湖南省,3425919,O,28.46,519475
广东省,3335273,G,59.53,684572
云南省,3060583,O,29.57,811033.13
重庆市,3050205,O,28.3,635882.63
湖北省,3007715,O,29.12,458013.23
内蒙古自治区,2858016,O,31.95,369042.6
安徽省,2782793,O,29.63,514551.04
广东省,2781509,S,48.29,548039.48
陕西省,2684969,O,28.94,474160.53
福建省,2674739,O,31.24,445736.3
山西省,2601793,O,29.57,360078.69
四川省,2585398,G,63.3,621345.17
北京市,2180163,O,27.31,450418.98
四川省,2145170,S,51,386658.83
贵州省,2058971,G,63.22,480379.72
江西省,2043427,O,28.64,433113.64
山东省,1936324,G,66.81,420814.2
辽宁省,1920986,O,29.66,269100
广西壮族自治区,1789303,O,30.34,379979.25
上海市,1695648,O,26.63,293949.73
山东省,1645222,S,47.76,280356.63
新疆维吾尔自治区,1602964,O,32.74,221867.61
河南省,1591832,S,56.37,303587.17
浙江省,1575877,G,69.13,361981.81
天津市,1525321,O,32.89,334110.81
河北省,1510807,G,78.72,374012.51
江苏省,1493189,G,75.7,359151.36
湖南省,1439480,G,67.69,328476.68
甘肃省,1439319,O,30.04,234479.55
贵州省,1368760,S,46.92,256606.33
重庆市,1349231,G,64.73,422230.81
湖北省,1338499,G,60.18,240074.26
云南省,1326120,G,65.98,362434.12
河南省,1306862,G,74.23,364563.29
海南省,1305327,O,54.88,257995.1
陕西省,1256561,G,69.96,291380.96
宁夏回族自治区,1216513,O,32.8,244013.14
江西省,1171176,G,64.72,294666.89
安徽省,1110128,G,70.66,303583.7
湖南省,1072404,S,57.55,188013.9
甘肃省,1054498,G,70.84,307163.62
江苏省,1036334,S,59.02,193409.37
海南省,1004959,G,88.74,256411.3
新疆维吾尔自治区,957036,G,71.05,224388.7
广西壮族自治区,891908,G,69.61,231570.51
河北省,880509,S,50.88,257342.81
吉林省,875642,S,68.33,195748.13
安徽省,870520,S,54.8,247440.89
山西省,856292,G,61.61,170075.9
北京市,847281,S,44.75,237387.27
福建省,844327,G,64.16,203843.82
湖北省,821500,S,45.93,138830.57
吉林省,778861,G,72.4,213098.34
浙江省,749953,S,59.14,159903.79
青海省,739589,G,66.48,175342.21
云南省,739448,S,41.05,223635.12
重庆市,736424,S,36.42,159278.89
内蒙古自治区,714803,G,78.75,218065.94
辽宁省,683538,G,81.08,215488.9
青海省,663785,O,31.68,64932.91
山西省,660207,S,50.52,105561.57
北京市,612357,R,35.94,163392.22
江西省,606083,S,54.27,154724.61
北京市,598047,G,56.06,150225.97
上海市,540111,S,44.79,126931.08
陕西省,528705,S,41.51,66842.04
福建省,508397,S,51.6,106979.59
黑龙江省,497495,O,30.67,69976.68
辽宁省,412563,S,47.65,59407.81
宁夏回族自治区,407200,G,72.41,99378.1
甘肃省,388859,S,42.77,62137.82
海南省,366230,S,51.59,65236.13
天津市,341521,S,56.26,83133.59
广西壮族自治区,341077,S,49.41,67100.87
上海市,321262,G,57.51,134912.49
四川省,316818,R,39.73,56417.42
内蒙古自治区,315461,S,63.17,62925.14
上海市,230648,R,38.85,24881.28
天津市,229969,G,69.12,110326.43
新疆维吾尔自治区,227311,S,54.08,37608.57
陕西省,214900,R,32.65,32603.03
湖北省,190226,R,42.79,23940.45
河北省,185070,R,40.29,21210.82
黑龙江省,179172,G,80.76,75605.24
河南省,178716,R,42.18,22485.23
青海省,167764,S,62.82,36506.21
宁夏回族自治区,134188,S,46.68,25262.23
西藏自治区,128410,G,50.8,84969.62
广东省,127121,R,29.43,16193.32
西藏自治区,119203,O,30.49,53445.71
贵州省,118756,R,40.15,15312.22
江苏省,112218,R,40.91,23078.19
云南省,112014,R,41.02,13591.82
浙江省,89002,R,39.46,9776.13
内蒙古自治区,69684,R,40.79,8367.53
黑龙江省,60823,S,70.64,16615.36
安徽省,57730,R,33.8,5518.03
福建省,54889,R,37.3,7825.14
山西省,53385,R,37.48,9467.41
山东省,44490,R,54.02,6817.55
西藏自治区,38873,S,56.2,33011.61
吉林省,38203,R,44.24,6317.98
天津市,29488,R,35.27,2829.96
大陆,24889,O,26.87,10933.17
新疆维吾尔自治区,24473,R,33.4,2441.75
浙江省,18294,r,34.75,1879.28
大陆,17190,G,38.14,1783.33
,14823,O,28.15,11158.32
湖南省,12367,R,37.01,4365.66
广西壮族自治区,11888,R,32.76,3426.36
辽宁省,8127,R,56.72,1230.77
重庆市,6301,R,21.64,767.7
,5948,G,37.91,581.34
大陆,5597,S,32.73,909.23
,4645,S,44.15,587.84
江西省,3863,R,72.17,770.78
黑龙江省,2128,R,24.55,188.31
甘肃省,779,R,24.19,107.4
海南省,185,R,25.01,12.49
北京市,124,r,24,8.36
西藏自治区,5,r,61.49,0.27
